degree, numerator, denominator exponent
228, 347105516181891, 61
229, -29737203819328232317775047718666765623341418227452085840865926180994763424821361074681481779920160349598064596674862389265846455143945, 455
230, -1927872043244833968287734304065209726157551, 151
231, -1671105465319283943488057925529801815223461824767265737432394606181734453260313340499719762576835021697294091285824387355345318740242559, 460
232, 305785, 29
233, 3134929033578952037912231725341404526829042049367376468487949427061860658898233866986582761391283481969677128977686196775367168548141269, 463
234, -1946995224354770771115924444501191980647335, 153
235, 721232023323898818004346041703871466311732816383584918841236341302132083211868979218758294744941260801766669865266750733688296168301957225, 467
236, 2378180426723205, 63
237, -3966464327334371849183854189887069893726100869743063976047477995928828685769705388920206868750294784912404117493969008639258355815142597013, 470
238, 4401163224837333543365410395313455033277991, 153
239, -78500485205074882831945660388464032176999496767050221901782868628257705996549686771289171810322579663168602593941408560035757702152732086929, 476
240, 0, 0
241, 817243354446984190425561298511453765744340314423908738596983337785045791440295178795418608190980363971171581708915578900298438548844061862423, 479
242, 202203449892745232154207524133790246437981067, 160
243, 121054964211090952305698940176061425829662647912848371842586442074025815040958874575792704297065837611430522620866505316123606272147919414269, 483
244, -606801727635601915, 69
245, -88192520698192595684146203772622572865850248168589184471353963446182310197538048343866536435675893603093333654800857558695872732433535248799781, 486
246, -22276239445344969216551213271204940655281949, 162
247, -1441092075986339082330995671286611087050963111838209659622148811066859128504307008491334129018678303640700860331573047710642487373414140685613145, 491
248, -677831, 31
249, -9640350749816076832404076166707675921695244835214728770270123132952668213549585787331980101654558900008885085665849366462584625486590714603742901, 494
250, 2683202546351435203235088203147301029117022157, 163
251, -989301097500967971108760668014036375782676730831095911212681070673470209125572009185602832162221686835894466237468422956198271469233712807679265213, 498
252, -254780203099569555, 71
253, -1690027135529352502269060901752332593553930640791662781295560788942478608057062334123381077351554019593818757906918976112099200214641645511066930095, 501
254, -430563914807128421804286943605417004323525081661, 167
255, 10235407236941633636656077991457472153146582413334920615943239533642714314527825910011148689529302884567686501427935444031666776612146676035341384060963, 511
256, 0, 0
257, -45315450174240591733729915926256220718847514139111265620852800643611304050144869822822317656074956395356364688043447915268719131633427762677998847786077, 514
258, 666508219680885645759660169123965248708422443719, 169
259, -802631171599716605623888459080212007719150364922188085010922540649808688915382456415275913553560345411953305902635897792105821961692456369711026025166771, 518
260, -2293168405060491987, 73
261, -1054512072244898932223907255546492320916692307331025844987170493490414222512355540930413100885743731911918634119055065227726208251712675268849216071787565, 521
262, 481439465583003151864963767138294932033660768661, 169
263, -44934908490823049963018098106467983777105274961156776836775030371139150291600190228290897003365350618167285163365163982355172000640911913740293487560566127, 526
264, -29839, 29
265, 1239784522251924086696356562691126690393913361104806324885108796518908390705261375440499631642310099484089753683788199071715390499925320322293848486537847413, 529
266, -21325671418938031918249926563470558624157294242093, 175
267, 18668579319686876057284535407447078405492868317445056224704547955865092521331166473167513911469508118498416955618121957884929788858017901363444181676485852817, 533
268, -41991564278886325723, 75
269, -214729042684600242548601891830683050109371965822910173905736413511705840022124265636653644695254338212309736011745464603670726963517871393297099685629012265933, 536
270, 310368278275675170923916986391993211003231777149711, 177
271, -8605810408784421562125090143545244709532466023579923298191808094228756278993372236940344389422666372826646024465192383749143983091789845218213501507671416851223, 542
272, 0, 0
273, 73350180489478554043261316370910936603214078706590017997340795467624251438761819289688032985981293954588492324252823455737325192391087850721234344133832348887505, 545
274, -318426633099998802793702799514661869622639754284575, 178
275, -489204022942028029960650818866968646029684552448105537860680965014211103917014874096490881216813088317131336865838873251149295501197929485699144089955678224557981, 549
276, 4558843427207518019, 76
277, 9226229635334101656948358533526520859034186075547317506313281823801863825344517227494219767861018903620611390114536723855838533694887525973373248942648696277049269, 552
278, -5455074685512172438896176001854416799482509188730507, 182
279, -214714429451937540156058990495522185395344976299770380156516723486637290904994868566819811768683074836459036429573804821946902744416722053162552013688401108183537859, 557
280, 3727781, 33
281, -3698153635589362428528478882910324659743507391545148234664664931931494634690683375034117115288617543840647460276836469893324125107754658188773721375352898260287454439, 560
282, 1383049745488670660054824149732814552017057167290485, 184
283, 7560256458071499573760951923437829242607333738419934732672934467658969272319410005415334052266820152666196338704842016346351720219661305280413309315482464110080690217, 564
284, -29542335716361804619, 76
285, 115414249100187408022966424859262934815267071036315555015836211026388417499723983865159514643689141164079453494118843310228768715470621856942846144894244237519938030179, 567
286, 8618232355613795898735555719964720104402779813878275, 184
287, -6319530142800281802357169048301970748907236078501978234312814703725236188087134413854978245433180913999272092053844285541787398927010547751967521592674504442815575131183, 574
288, 0, 0
289, 6352891376245446885345951913588487531013250186056991507941412690126648942617537885729829421528889162571266431156808981692619270340061671858847221300381261279281708582177, 577
290, -920067897262010062882873471919769761665192632621009367, 192
291, 1473808962711671724510794179664215151007676909005837096663594890405469588526746398244955734822947012467400062339684658691705698847636564183787632863841965151187758529126999, 581
292, 150145263742646887489, 79
293, -16225063780350172616903228072133933690124188427285150282012654869362426758163105436541238740171704908763807217692766117328684649159981326875044267187657472146861657428689351, 584
294, -8767445835454475930760907275658961351808178316763179047, 194
295, 1199021887355525831320922993929609310176828806314658901329736325703784482095018775040846925661924548113204211643231763017371274505915922848981727863713262642286734326296828791, 589
296, -3409485, 34
297, 4656887967293512634241649994390293013360495533533238819680209554755791745482447946998856760722288037372501871016825946087890447477901745348678402807406376455254123962923978723, 592
298, 21806217390069873438106319914824304990979032178652415943, 195
299, -292613490229911470142370995191692693038455864691099162362155415551897169712756335955680664906762806214196793071334111345597349411311969802770356126139620650205894012264404426209, 596
300, 7252473338900095473533, 84
301, 1047450074739554463994994674857162745322253924399876116288747928139702103732377933560161688230362701277219776551222363201122008027754544276879399294484799960717003836077629809421, 599
302, -307257085339276981852119994420493120893536205389848282411, 199
303, 44341174831816397017165261330917103889832158018012809814146971589849377824532694635790984988319657533091062424931449301075771132043929083089466514323506029268615289970802854268061, 605
304, 0, 0
305, -289156537963530505123545365439560160512841972025999855627464924653158244899097032933333314896483667541766466366051392639391235598656823088520804018502475498655520321515739881994443, 608
306, 128574625896433976471051143612215871237255744469127873193, 201
307, 704288316195782348420917508794679384950539168908371016171779793281256636341687910135770028161574658723951848094909401644635934524541532429007959135150077023374533893128207949009879, 612
308, -10216619290326635667239, 86
309, -83275635815841480988597115675094476389072649058457619611922962537834316792349589586964837387824299090497031828048619620424434793145044284655642381181702835803018044761097609575035631, 615
310, 203693436195361335563375539606953938048836457389906267267, 201
311, -483549400123389286623319342449471989902605141897208995966976549252617824819219447103630877352618612580259368530899321178489949352302791733209860786913266102118460501828553822726157667, 620
312, -280207873, 39
313, 851187100823722952106307970592809684479896208245551679971231592856069922043464364069237139070457317563435737914260833520445806479744525807565132974615443605878009420501440479997721865, 623
314, -266158675588078432160537198264858627938659818003909724435525, 207
315, -7015734356715213844301158672403939440224323789676830061111165245825936259549962439149239105025768468568675728447677367499371980408964860420360886287454068459908629142012708586060099455, 627
316, -42410267448510635625371, 88
317, -1753934650603233212758499568984222913339266654194620322040635228776701642869477412785243668024128561875712095549338887281361202649735771200070289961706986335183126363845472214232105819397, 630
318, 1380707445615711020261076248406109129131361142941756025500655, 209
319, -819691879791211194440064502329030893723854479929150840940785987105993506979295890474950104319199321153664186164719417982861655643252229287287268314889117908967450152811103214629642381051123, 638
320, 0, 0
321, 4383078869685145177606736098723245012077661017942187012213236777033961490940498159483371816371221131891300184985523203192687807512206945810569707978093960772313340348469248459823287627701421, 641
322, -1165606589554580367045100000936216177354104405672691276174799, 210
323, 56306267395881573652278702584088109295382917201147266244363013305423568973024656770817234532861892536699625759949967538270266677559007448355621394549042607516932588725803317552227453174329331, 645
324, -167084574605136056808023, 90
325, 719925160472739269624609626887982583684511377369956262587719867959041278733895125769275334515326204446987189839736408298054192022578764467278241911784594058863625297782574234123931078045122509, 648
326, -6769159220212914286542117873158973466178099361985574755771367, 214
327, -3018243078749426040744621262971323078723002237102178811982006371636722956543661216939937297831056640085269214151330104371148711016006959326598538826290417980452533053003978511515379491292873641, 653
328, 279424625, 40
329, -317429163752311033295356772221268194886556753815578948040555863431947517080119190562904881467517765160107469755348293746211117734682398296879527389976873985714073961016452121584243199657393453709, 656
330, 52771220609463469788802835006591860965380947498343259748426577, 216
331, -997265000578836058164780951287692514444752691357883512570201715523292397744589693757540543897693313223050674404681412752183460453933114914661744687046680311913194924428204540868109107436428889561, 660
332, 500537497243005817438955, 90
333, 36412643691134080945079699901380487923145067692223380416735627884597181877264814081281265608691001804034786893199033683581107843741758908553894846457782690383398649467238735983372403015089617856341, 663
334, -111486507994685881159230052029346338563648406555789619804067425, 216
335, 1029859915581366241676956729659211688317384226739742018350483949838110596006980599961812522433233934188523939298424897639160674896160024782816422965610071132450303969756561677700320008002827295902243, 669
336, 0, 0
337, -8769276632342558047270268377425023019678868673591795258808549206234391561835338734248289147698686152495896389685025455697868943552327159712390489766282261440126164373991423820627048764928367043637253, 672
338, 7466214008730747584775506100027382534235892947123112981925850377, 223
339, -21612988731878938614990390490534341577036199727006257563180946975391433845211288617928352925625502426102330706818345181349722917707996120678652616160730632389384573186218034817939341118147589164049743, 676
340, -1978133464712303122567981, 93
